caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5,mult_captions_predicted_1,mult_captions_predicted_2
a series of gunshots firing followed by a man yelling and a man speaking,a group of men speaking as cannons fire while rain falls and water splashes followed by thunder roaring,a man speaks then a sudden explosion which is followed by smaller explosions and thunder,male yelling and multiple gunshots,gunfire is ongoing and water is splashing adult males are shouting in the background and an adult male speaks in the foreground,loud gunshots and explosions with men speaking water splashing wind blowing and thunder roaring,a series of gunshots firing followed by a man yelling and a man speaking,a series of gunshots firing followed by a man yelling then a man speaking
a man speaks and crumples something,plastic crinkling as a man is talking,an adult male is speaking and plastic is crinkling and music is playing softly in the background,a man talking as plastic is crinkling,a man is speaking with crinkling background noise,man speaking while there is crinkling sound,a man speaks and crumples something,a man speaks and crinkles plastic
a sewing machine runs and a woman speaks,vibrations from a sewing machine followed by a woman speaking,a sewing machine running and then female speech,vibrations from a running sewing machine with a woman speaking,loud vibrations from a sewing machine followed by a woman speaking,a sewing machine is in use and a woman talks,a sewing machine runs and a woman speaks,a sewing machine is running and a woman speaks
a chainsaw is being used,a chainsaw cutting as wood is cracking,sound of cutting with a chainsaw with a little pause and again followed by the same sound,a chainsaw cutting as wood cracks and creaks,a chainsaw running and crackling,a saw running continuously,a chainsaw is being used,a chainsaw is being used and then it revs up
a man is giving a speech,an adult male speaks in the foreground and dogs are barking and people are talking in the background,a man is speaking and a dog is barking,a man speaks over a loudspeaker with a crowd talking in the distance and dogs barking,a man speaks over an intercom as crowd of people talking in the background followed by a dog barking,a man speaking over an intercom as a crowd of people talk followed by a dog barking,a man is giving a speech,a man is speaking and a dog barks
a woman is speaking and food is frying,an adult female speaks while sizzling and crackling are ongoing and metal thumping and clinking occur,a woman talks before plastic clanking as food and oil are sizzling,a woman talking followed by plastic thumping then metal clanking as food and oil sizzles,a woman speaks and food sizzles,a woman is speaking as food is sizzling,a woman speaks while something is fried,a woman is speaking and food is frying
a woman is giving a speech,a woman speaking very quickly,a woman speaking rapidly,a woman speaking continuously,a woman speaking,a female speaking,a woman speaking,a woman is giving a speech
a woman speaks followed by crinkling plastic,a female voice briefly speaks followed by crinkling noises,a woman speaks with some rustling and crinkling of plastic,a woman speaks followed by crinkling,crinkling plastic and a person speaking,an adult female speaks thumping occurs and paper crinkles while in a quiet environment,a woman speaks and crinkles plastic,a woman speaks followed by crinkling plastic
a woman is giving a speech,a woman speaking while a crowd murmurs in the background,a woman is speaking with people communicating in the background,female speaking,a female speaking,a woman speaking,a woman is speaking,a woman is giving a speech
a man speaks while birds chirp in the background,a child talking followed by a man talking as a young boy mumbles while birds chirp in the background,a girl talking followed by a man then a young boy talking as a bird chirps in the background,a young girl talking followed by a man talking then a young boy softly talking as birds are chirping in the background,a child speaks followed by a man and child communicating as birds are tweeting,a young girl speaking followed by a man speaking then a young boy speaking as birds chirp in the background,a man speaks and birds chirp,a man speaks while birds chirp in the background
